,0,1,2,3
0,0.88,1.0,0.68,0.86
1,0.23,0.0,0.44,0.54
2,0.84,0.27,0.72,0.57
3,0.99,1.0,0.7,0.74
4,0.93,1.0,0.47,0.44
5,0.91,1.0,0.56,0.53
6,0.92,0.09,0.71,0.04
7,0.93,1.0,0.64,0.52
8,0.72,0.02,0.59,0.46
9,0.97,1.0,0.82,0.32
10,0.84,1.0,0.58,0.23
11,0.94,1.0,0.69,0.93
12,0.54,0.23,0.27,0.26
13,0.49,0.04,0.41,0.58
14,0.68,0.02,0.34,0.35
15,0.34,0.57,0.1,0.22
16,0.42,0.34,0.31,0.21
17,0.94,1.0,0.55,0.61
18,0.67,0.05,0.5,0.3
19,0.71,0.05,0.61,0.06
20,0.62,0.0,0.54,0.49
21,0.41,0.06,0.34,0.54
22,0.8,1.0,0.51,0.89
23,0.72,0.07,0.74,0.07
24,0.73,0.09,0.54,0.04
25,0.83,0.44,0.63,0.32
26,0.32,0.48,0.07,0.23
27,0.98,1.0,0.7,0.67
28,0.87,0.0,0.64,0.07
29,0.31,0.35,0.22,0.2
30,0.91,0.17,0.62,0.04
31,0.91,1.0,0.38,0.55
32,0.91,0.03,0.48,0.42
33,0.99,0.11,0.88,0.08
34,0.98,1.0,0.63,0.35
35,0.71,0.96,0.64,0.94
36,0.26,0.0,0.11,0.09
37,0.94,0.14,0.77,0.05
38,0.93,1.0,0.74,0.94
39,0.19,0.34,0.05,0.16
40,0.74,0.15,0.78,0.09
41,0.33,0.0,0.11,0.14
42,0.23,0.21,0.24,0.27
43,0.91,0.1,0.67,0.05
44,0.83,1.0,0.77,0.91
