ID,Image
0,daisy_img10_c1-0.91_c2-1_c3-0.56_c4_0.53.jpg
1,daisy_img1_c1-0.97_c2-1_c3-0.82_c4-0.32.jpg
2,daisy_img2_c1-0.93_c2-1_c3-0.47_c4-0.44.jpg
3,daisy_img3_c1-0.65_c2-1_c3-0.56_c4-0.37_c5-0.02.jpg
4,daisy_img4_c1-0.91_c2-1_c3-0.38_c4-0.55.jpg
5,daisy_img5_c1-0.94_c2-1_c3-0.55_c4-0.61.jpg
6,daisy_img6_c1-0.98_c2-1_c3-0.84_c4-0.51.jpg
7,daisy_img7_c1-0.84_c2-1_c3-0.58_c4-0.23.jpg
8,daisy_img8_c1-0.93_c2-1_c3-0.64_c4-0.52.jpg
9,daisy_img9_c1-0.98_c2-1_c3-0.63_c4-0.35.jpg
10,dandelion_img10_c1-0.92_c2-0.09_c3-0.71_c4-0.1_c5_0.01.jpg
11,dandelion_img1_c1-0.99_c2-0.34_c3-0.88_c4-0.1.jpg
12,dandelion_img2_c1-0.91_c2-0.37_c3-0.67_c4-0.09.jpg
13,dandelion_img3_c1-0.91_c2-0.87_c3-0.62_c4-0.09.jpg
14,dandelion_img4_c1-0.87_c2-0.19_c3-0.64_c4-0.09.jpg
15,dandelion_img5_c1-0.73_c2-0.09_c3-0.54_c4-0.14.jpg
16,dandelion_img6_c1-0.74_c2-0.15_c3-0.78_c4-0.12.jpg
17,dandelion_img7_c1-0.71_c2-0.05_c3-0.61_c4-0.06.jpg
18,dandelion_img8_c1-0.94_c2-0.14_c3-0.77_c4-0.1.jpg
19,dandelion_img9_c1-0.72_c2-0.07_c3-0.74_c4-0.11.jpg
20,rose_img10_c1-0.84_c2-0.5_c3-0.72_c4-0.57.jpg
21,rose_img1_c1-0.41_c2-0_c3-0.34_c4-0.54.jpg
22,rose_img2_c1-0.49_c2-0.04_c3-0.41_c4-0.58.jpg
23,rose_img3_c1-0.62_c2-0_c3-0.54_c4-0.49.jpg
24,rose_img4_c1-0.67_c2-0.05_c3-0.5_c4-0.3.jpg
25,rose_img5_c1-0.23_c2-0_c3-0.44_c4-0.54.jpg
26,rose_img6_c1-0.83_c2-0.1_c3-0.63_c4-0.32_c5_0.01.jpg
27,rose_img7_c1-0.72_c2-0.02_c3-0.59_c4-0.46.jpg
28,rose_img8_c1-0.68_c2-0.02_c3-0.34_c4-0.35.jpg
29,rose_img9_c1-0.91_c2-0.03_c3-0.48_c4-0.42_c5-0.1.jpg
30,sunflower_img10_c1-0.93_c2-1_c3-0.74_c4-0.94.jpg
31,sunflower_img1_c1-0.88_c2-1_c3-0.56_c4-0.86.jpg
32,sunflower_img2_c1-0.94_c2-1_c3-0.69_c4-0.93.jpg
33,sunflower_img3_c1-0.71_c2-0.96_c3-0.64_c4-0.94.jpg
34,sunflower_img4_c1-0.96_c2-1_c3-0.46_c4-0.81.jpg
35,sunflower_img5_c1-0.99_c2-1_c3-0.7_c4-0.74.jpg
36,sunflower_img6_c1-0.97_c2-1_c3-0.64_c4-0.71.jpg
37,sunflower_img7_c1-0.98_c2-1_c3-0.7_c4-0.67.jpg
38,sunflower_img8_c1-0.8_c2-1_c3-0.51_c4-0.89.jpg
39,sunflower_img9_c1-0.83_c2-1_c3-0.77_c4-0.91_c5_0.01.jpg
40,tulip_img10_c1-0.33_c2-0_c3-11_c4-0.14.jpg
41,tulip_img1_c1-0.32_c2-0.3_c3-0.07_c4-0.23.jpg
42,tulip_img2_c1-0.34_c2-0.29_c3-0.1_c4-0.22.jpg
43,tulip_img3_c1-0.42_c2-0.09_c3-0.31_c4-0.21.jpg
44,tulip_img4_c1-0.31_c2-0.13_c3-0.22_c4-0.2_c5_0.01.jpg
45,tulip_img5_c1-0.19_c2_0.11_c3-0.05_c4-0.16_c5_0.01.jpg
46,tulip_img6_c1-0.49_c2-0_c3-0.16_c4-0.22.jpg
47,tulip_img7_c1-0.54_c2-0.05_c3-0.27_c4-0.26.jpg
48,tulip_img8_c1-0.26_c2-0_c3-0.11_c4-0.09.jpg
49,tulip_img9_c1-0.23_c2-0.04_c3-0.24.jpg
